,title,collections,current_price,colors,sizes,is_active,quantity
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,DarkGray,"Standard(W16.9xL24.8"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,DarkGray,"Queen(W19.7xL27.6"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,LightBeige,"Standard(W16.9xL24.8"")",True,200
23,Washed Cotton Pillowcase,"['bedding', 'back-to-school-dorm-room-essentials', 'pillows-pillowcases', 'limited-time-offers', 'home']",9.9,LightBeige,"Queen(W19.7xL27.6"")",True,200
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,Gray,"Single(L39.3xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,Gray,"Double(L55.1xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,Gray,"Queen(L62.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,Gray,"King(L70.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,OffWhite,"Single(L39.3xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,OffWhite,"Double(L55.1xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,OffWhite,"Queen(L62.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,OffWhite,"King(L70.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,DarkGray,"Single(L39.3xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,DarkGray,"Double(L55.1xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,DarkGray,"Queen(L62.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,DarkGray,"King(L70.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,LightBeige,"Single(L39.3xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,LightBeige,"Double(L55.1xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,LightBeige,"Queen(L62.9xW78.7"")",True,300
24,Washed Cotton Fitted Sheet,"['bedding', 'back-to-school-dorm-room-essentials', 'limited-time-offers', 'limited-time-offers', 'home', 'home', 'bed-pads-fitted-sheets', 'bed-pads-fitted-sheets']",29.9,LightBeige,"King(L70.9xW78.7"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Gray,"Single(L37.4xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Gray,"Double(L53.1xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Gray,"Queen(L61.0xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Gray,"King(L68.9xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBrown,"Single(L37.4xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBrown,"Double(L53.1xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBrown,"Queen(L61.0xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBrown,"King(L68.9xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Navy,"Single(L37.4xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Navy,"Double(L53.1xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Navy,"Queen(L61.0xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,Navy,"King(L68.9xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBeige,"Single(L37.4xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBeige,"Double(L53.1xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBeige,"Queen(L61.0xW72.8"")",True,300
25,Cotton Jersey Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets', 'sale', 'home-clearance']",39.99,LightBeige,"King(L68.9xW72.8"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Gray,"SemiDouble(L65xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Gray,"Queen(L80.7xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Gray,"King(L88.6xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBrown,"SemiDouble(L65xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBrown,"Queen(L80.7xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBrown,"King(L88.6xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Navy,"SemiDouble(L65xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Navy,"Queen(L80.7xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,Navy,"King(L88.6xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBeige,"SemiDouble(L65xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBeige,"Queen(L80.7xW80.7"")",True,300
26,Cotton Jersey Duvet Cover,"['bedding', 'duvets-duvet-covers', 'sale', 'home-clearance']",39.99,LightBeige,"King(L88.6xW80.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,LightGray,"Single(L39.3xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,LightGray,"Double(L55.1xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,LightGray,"Queen(L62.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,LightGray,"King(L70.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Beige,"Single(L39.3xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Beige,"Double(L55.1xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Beige,"Queen(L62.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Beige,"King(L70.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,DarkBrown,"Single(L39.3xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,DarkBrown,"Double(L55.1xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,DarkBrown,"Queen(L62.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,DarkBrown,"King(L70.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Navy,"Single(L39.3xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Navy,"Double(L55.1xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Navy,"Queen(L62.9xW78.7"")",True,300
27,Cotton Flannel Fitted Sheet,"['bedding', 'bed-pads-fitted-sheets']",59.9,Navy,"King(L70.9xW78.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,LightGrayCheck,"SemiDouble(L65.0xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,LightGrayCheck,"Queen(L80.7xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,LightGrayCheck,"King(L90.6xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,OrangeCheck,"SemiDouble(L65.0xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,OrangeCheck,"Queen(L80.7xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,OrangeCheck,"King(L90.6xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,DarkBrownCheck,"SemiDouble(L65.0xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,DarkBrownCheck,"Queen(L80.7xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,DarkBrownCheck,"King(L90.6xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,NavyCheck,"SemiDouble(L65.0xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,NavyCheck,"Queen(L80.7xW82.7"")",True,300
28,Cotton Flannel Patterned Duvet Cover,"['bedding', 'duvets-duvet-covers']",99.9,NavyCheck,"King(L90.6xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,LightGray,"SemiDouble(L65.0xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,LightGray,"Queen(L80.7xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,LightGray,"King(L90.6xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Beige,"SemiDouble(L65.0xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Beige,"Queen(L80.7xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Beige,"King(L90.6xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,DarkBrown,"SemiDouble(L65.0xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,DarkBrown,"Queen(L80.7xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,DarkBrown,"King(L90.6xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Navy,"SemiDouble(L65.0xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Navy,"Queen(L80.7xW82.7"")",True,300
29,Cotton Flannel Duvet Cover,"['bedding', 'duvets-duvet-covers']",89.9,Navy,"King(L90.6xW82.7"")",True,300
